PE,6M return,1Y return,2Y return,3Y return,5Y return,Predict,Month
 21.00 ,10.9%,69.8%,-2.5%,6.1%,18.9%,12.8%,10-Jan
 20.92 ,11.5%,78.1%,-2.9%,9.5%,18.5%,8.3%,10-Feb
 22.33 ,6.6%,73.8%,5.3%,11.2%,20.9%,11.1%,10-Mar
 22.29 ,25.5%,51.9%,1.1%,8.9%,22.6%,8.9%,10-Apr
 21.30 ,2.1%,14.3%,2.2%,5.8%,19.5%,9.3%,10-May
 22.25 ,4.3%,23.8%,14.7%,7.2%,19.1%,6.3%,10-Jun
 22.31 ,20.9%,15.8%,11.3%,5.8%,18.3%,2.1%,10-Jul
 22.73 ,20.5%,15.9%,11.3%,6.6%,17.8%,-7.4%,10-Aug
 25.46 ,32.0%,18.6%,24.0%,6.3%,18.3%,-18.0%,10-Sep
 24.71 ,30.0%,27.7%,44.4%,0.7%,20.5%,-11.5%,10-Oct
 23.39 ,32.9%,16.5%,45.9%,0.6%,17.2%,-17.6%,10-Nov
 24.48 ,33.3%,17.9%,44.0%,0.0%,16.7%,-24.6%,10-Dec
 21.06 ,5.2%,12.8%,38.4%,2.3%,12.9%,-5.6%,11-Jan
 20.42 ,-2.5%,8.3%,38.9%,0.7%,11.6%,1.0%,11-Feb
 22.14 ,-6.4%,11.1%,39.0%,7.2%,11.4%,-9.2%,11-Mar
 21.36 ,-8.7%,8.9%,28.6%,3.6%,10.1%,-8.7%,11-Apr
 20.53 ,-10.1%,9.3%,11.8%,4.5%,12.6%,-11.4%,11-May
 20.82 ,-15.3%,6.3%,14.7%,11.8%,12.5%,-6.5%,11-Jun
 19.76 ,-0.9%,2.1%,8.7%,8.2%,11.8%,-4.6%,11-Jul
 18.05 ,-12.1%,-7.4%,3.6%,4.7%,7.9%,5.1%,11-Aug
 17.85 ,-28.2%,-18.0%,-1.4%,8.0%,6.6%,15.4%,11-Sep
 18.90 ,-14.2%,-11.5%,6.3%,22.7%,7.3%,5.5%,11-Oct
 17.49 ,-24.5%,-17.6%,-2.0%,20.6%,4.1%,21.7%,11-Nov
 16.75 ,-33.0%,-24.6%,-5.7%,16.0%,3.1%,27.7%,11-Dec
 18.53 ,-10.0%,-5.6%,3.2%,21.8%,5.0%,16.1%,12-Jan
 19.09 ,16.0%,1.0%,4.6%,24.9%,7.5%,5.7%,12-Feb
 18.71 ,14.8%,-9.2%,0.4%,20.6%,6.7%,7.3%,12-Mar
 18.12 ,-2.9%,-8.7%,-0.3%,14.7%,5.1%,13.0%,12-Apr
 16.66 ,3.9%,-11.4%,-1.6%,3.4%,2.8%,21.6%,12-May
 17.51 ,30.3%,-6.5%,-0.3%,7.1%,4.1%,10.7%,12-Jun
 17.09 ,1.1%,-4.6%,-1.3%,4.1%,2.9%,9.8%,12-Jul
 17.64 ,-4.7%,5.1%,-1.3%,4.1%,3.3%,4.1%,12-Aug
 19.17 ,16.0%,15.4%,-2.7%,3.9%,2.6%,0.6%,12-Sep
 18.40 ,14.7%,5.5%,-3.4%,6.1%,-1.0%,12.1%,12-Oct
 18.59 ,42.6%,21.7%,0.1%,5.3%,0.4%,5.0%,12-Nov
 18.68 ,25.1%,27.7%,-1.9%,4.3%,-0.8%,6.8%,12-Dec
 18.50 ,33.2%,16.1%,4.7%,7.3%,3.3%,0.9%,13-Jan
 17.66 ,17.2%,5.7%,3.3%,5.0%,1.7%,10.3%,13-Feb
 17.57 ,-0.7%,7.3%,-1.3%,2.7%,3.7%,18.0%,13-Mar
 17.85 ,11.4%,13.0%,1.6%,4.0%,2.8%,12.9%,13-Apr
 17.95 ,3.6%,21.6%,3.8%,5.6%,4.2%,20.8%,13-May
 17.76 ,-2.1%,10.7%,1.7%,3.2%,7.7%,30.3%,13-Jun
 17.05 ,-9.5%,9.8%,2.3%,2.3%,5.8%,34.5%,13-Jul
 15.77 ,-7.6%,4.1%,4.6%,0.4%,4.6%,45.4%,13-Aug
 16.82 ,1.9%,0.6%,7.7%,-1.7%,7.9%,38.9%,13-Sep
 18.18 ,12.8%,12.1%,8.7%,1.5%,16.9%,32.1%,13-Oct
 18.38 ,6.5%,5.0%,13.1%,1.8%,17.5%,39.1%,13-Nov
 18.70 ,16.4%,6.8%,16.8%,0.9%,16.3%,31.4%,13-Dec
 17.70 ,12.5%,0.9%,8.2%,3.4%,16.2%,44.7%,14-Jan
 17.67 ,31.6%,10.3%,8.0%,5.6%,17.8%,41.8%,14-Feb
 18.86 ,36.6%,18.0%,12.5%,4.7%,17.3%,26.7%,14-Mar
 18.79 ,13.0%,12.9%,13.0%,5.2%,14.0%,22.2%,14-Apr
 19.82 ,37.0%,20.8%,21.2%,9.1%,10.2%,16.6%,14-May
 20.65 ,45.8%,30.3%,20.1%,10.5%,12.1%,9.9%,14-Jun
 20.56 ,60.8%,34.5%,21.5%,12.1%,10.7%,10.5%,14-Jul
 20.80 ,60.6%,45.4%,23.0%,16.7%,11.3%,0.2%,14-Aug
 20.82 ,41.1%,38.9%,18.2%,17.2%,9.4%,-0.2%,14-Sep
 21.58 ,54.5%,32.1%,21.7%,16.0%,12.1%,-3.1%,14-Oct
 21.94 ,41.1%,39.1%,20.9%,21.1%,11.3%,-7.6%,14-Nov
 21.16 ,18.4%,31.4%,18.4%,21.4%,9.8%,-4.1%,14-Dec
 22.48 ,30.2%,44.7%,20.8%,19.2%,12.5%,-14.1%,15-Jan
 23.80 ,25.2%,41.8%,25.0%,18.2%,12.6%,-21.5%,15-Feb
 22.70 ,13.6%,26.7%,22.2%,17.0%,10.1%,-8.9%,15-Mar
 22.07 ,-3.4%,22.2%,17.5%,16.0%,9.2%,-4.1%,15-Apr
 23.12 ,-3.6%,16.6%,18.7%,19.6%,10.6%,-3.2%,15-May
 23.19 ,2.1%,9.9%,19.7%,16.6%,9.5%,-1.0%,15-Jun
 23.53 ,-6.2%,10.5%,21.9%,17.7%,9.7%,1.2%,15-Jul
 22.08 ,-19.8%,0.2%,20.7%,14.9%,8.1%,10.2%,15-Aug
 22.21 ,-12.4%,-0.2%,17.7%,11.7%,5.7%,8.3%,15-Sep
 22.06 ,-2.8%,-3.1%,13.2%,12.8%,6.0%,6.9%,15-Oct
 21.45 ,-11.5%,-7.6%,13.4%,10.5%,6.2%,3.6%,15-Nov
 21.49 ,-9.8%,-4.1%,12.3%,10.4%,5.3%,3.0%,15-Dec
 20.22 ,-21.4%,-14.1%,11.4%,7.8%,6.6%,13.2%,16-Jan
 18.90 ,-23.2%,-21.5%,5.5%,7.1%,5.6%,27.1%,16-Feb
 20.89 ,-5.2%,-8.9%,7.4%,10.8%,5.8%,18.5%,16-Mar
 21.24 ,-5.3%,-4.1%,8.3%,9.8%,6.4%,18.5%,16-Apr
 22.60 ,5.7%,-3.2%,6.2%,10.9%,8.0%,17.9%,16-May
 22.75 ,8.8%,-1.0%,4.3%,12.4%,8.0%,14.9%,16-Jun
 23.62 ,30.4%,1.2%,5.8%,14.6%,9.5%,16.7%,16-Jul
 24.09 ,58.1%,10.2%,5.1%,17.1%,11.9%,12.9%,16-Aug
 23.40 ,23.8%,8.3%,4.0%,14.5%,11.7%,13.7%,16-Sep
 23.31 ,20.7%,6.9%,1.8%,11.0%,10.1%,19.8%,16-Oct
 21.61 ,1.6%,3.6%,-2.1%,10.0%,11.2%,24.3%,16-Nov
 21.93 ,-2.4%,3.0%,-0.6%,9.1%,12.1%,28.6%,16-Dec
 22.86 ,-1.8%,13.2%,-1.4%,12.0%,10.5%,28.8%,17-Jan
 23.13 ,2.1%,27.1%,-0.1%,12.3%,10.5%,18.2%,17-Feb
 23.26 ,13.5%,18.5%,3.9%,11.0%,11.6%,10.2%,17-Mar
 23.63 ,16.3%,18.5%,6.6%,11.6%,12.1%,15.4%,17-Apr
 24.35 ,36.8%,17.9%,6.8%,10.0%,14.3%,11.6%,17-May
 24.23 ,35.3%,14.9%,6.7%,7.7%,12.5%,12.5%,17-Jun
